gvkey,datadate,tic,conm,act,at,csho,ebit,lct,lt,re,sale,prcc_c,gsector,mve
10938,12/31/22,USEG,US ENERGY CORP,8.444,118.32,25.024,3.538,11.494,39.966,-138.586,44.552,2.3,10,57.555
11506,12/31/22,WMB,WILLIAMS COS INC,3797,48433,1218,3054,4890,34388,-13295,10965,32.9,10,40072.2
11781,12/31/22,OVV,OVINTIV INC,1695,15056,245.7,3853,2780,7367,-90,12464,50.71,10,12459.447
11925,12/31/22,NE,NOBLE CORP PLC,1051.79,5234.864,134.681,223.268,667.098,1627.779,259.577,1413.847,37.71,10,5078.821
12088,9/30/22,ALTX,ALTEX INDUSTRIES INC,2.385,2.491,12.011,-0.155,1.113,1.16,-12.566,0.036,0.1,10,1.201
12384,12/31/22,SHEL,SHELL PLC,165937,443024,3485.365,63892,121311,250427,189321,381782,56.95,10,198491.537
12471,12/31/22,WKC,WORLD KINECT CORP,5238,8164.6,62,273,4608.6,6173.9,1801.9,59043.1,27.33,10,1694.46
12686,12/31/22,JECFF,JURA ENERGY CORP,11.281,32.175,69.076,-4.539,19.486,23.956,-57.351,11.993,0.154,10,10.638
13431,12/31/22,BRY,BERRY CORP,218.055,1631.03,75.768,157.184,234.207,830.545,82.695,918.341,8,10,606.144
13460,12/31/22,PED,PEDEVCO CORP,32.109,116.11,85.79,2.63,16.962,19.651,-126.741,30.034,1.1,10,94.369
14155,12/31/22,VTDRF,VANTAGE DRILLING INTL,220.123,578.561,13.115,-23.553,123.954,316.062,-373.147,278.716,14.49,10,190.036
14359,12/31/22,PXD,PIONEER NATURAL RESOURCES CO,3726,35740,236.036,10268,3887,13199,5685,24384,228.39,10,53908.262
14934,12/31/22,DVN,DEVON ENERGY CORP,3891,23721,653,7920,3105,12425,4181,19169,61.51,10,40166.03
15060,12/31/22,CPE,CALLON PETROLEUM CO/DE,297.638,6146.081,61.622,1681.301,702.814,3060.659,-937.388,3230.964,37.09,10,2285.56
15247,12/31/22,VLO,VALERO ENERGY CORP,24133,60982,372.129,15728,17461,35514,36888,171189,126.86,10,47208.285
15319,12/31/22,REPYY,REPSOL SA,27982.878,64086.06,1327.17,7896.937,18080.981,36327.618,21302.171,82584.919,15.849,10,21034.317
16478,12/31/22,EOG,EOG RESOURCES INC,10475,41371,587.696,9805,5513,16592,18464,25510,129.52,10,76118.386
17228,12/31/22,TALO,TALOS ENERGY INC,367.829,3058.626,82.57,781.121,607.058,1893.05,-535.049,1651.98,18.88,10,1558.922
17408,12/31/22,NVGS,NAVIGATOR HOLDINGS LTD,228.321,2096.738,76.804,55.577,159.623,923.326,363.537,473.792,11.96,10,918.576
17898,12/31/22,ORXPF,FORZA PETROLEUM LTD,149.247,448.18,600.306,-124.347,97.102,117.443,-1054.159,191.255,0.148,10,88.845
18289,12/31/22,ASC,ARDMORE SHIPPING CORP,157.738,723.859,40.627,159.454,52.929,217.417,16.603,445.741,14.41,10,585.435
18465,12/31/22,AR,ANTERO RESOURCES CORP,787.525,14118.039,297.359,2599.475,1774.909,7100.885,913.896,7138.436,30.99,10,9215.155
19129,12/31/22,HNRG,HALLADOR ENERGY CO,138.519,630.554,32.983,24.067,239.602,415.53,95.906,355.628,9.99,10,329.5
19309,12/31/22,ALVOF,ALVOPETRO ENERGY LTD,27.627,98.427,36.312,36.235,12.929,22.019,-17.886,59.022,5.58,10,202.621
19433,9/30/22,PHX,PHX MINERALS INC,17.922,152.502,35.4,21.533,11.263,44.723,67.118,53.495,3.89,10,137.706
20147,12/31/22,SDPI,SUPERIOR DRILLING PRODUCTS,8.205,17.6,29.245,1.936,3.748,9.513,-35.886,19.098,0.9191,10,26.879
20214,12/31/22,ERF,ENERPLUS CORP,407.684,1937.981,217.285,1089.013,503.167,861.368,-1811.173,2155.688,17.65,10,3835.08
20548,12/31/22,CTRA,COTERRA ENERGY INC,2211,20154,768.245,5279,1193,7484,4649,9051,24.57,10,18875.78
21165,12/31/22,ICD,INDEPENDENCE CONTRACT DRLLNG,51.67,429.714,13.614,-1.941,52.039,215.002,-399.097,186.71,3.27,10,44.518
21222,12/31/22,PTVRF,PETRO-VICTORY ENERGY CORP,0.172,14.119,18.45,-4.92,3.256,11.136,-82.877,1.422,1.49,10,27.491
21237,12/31/22,TTI,TETRA TECHNOLOGIES INC/DE,238.448,434.366,128.662,21.588,124.267,327.969,-351.556,553.213,3.46,10,445.171
21431,12/31/22,CRC,CALIFORNIA RESOURCES CORP,864,3967,71.95,755,894,2103,1019,2707,43.51,10,3130.545
21834,12/31/22,TUSK,MAMMOTH ENERGY SERVICES INC,496.692,724.678,47.312,-20.326,237.212,262.062,-76.995,362.086,8.65,10,409.249
22010,12/31/22,KLNG,KOIL ENERGY SOLUTIONS INC,6.885,16.615,11.888,-1.684,2.989,9.507,-63.549,12.977,0.47,10,5.587
22284,12/31/22,SND,SMART SAND INC,68.113,360.003,43.088,-3.128,51.917,116.532,70.117,255.74,1.79,10,77.128
22447,12/31/22,PARR,PAR PACIFIC HOLDINGS INC,1881.837,3280.647,60.471,441.397,1794.09,2636.11,-192.558,7321.785,23.25,10,1405.951
22962,12/31/22,RSRV,RESERVE PETROLEUM CO,16.249,38.727,0.156,6.231,0.612,6.342,33.829,16.171,240,10,37.44
23296,12/31/22,EVA,ENVIVA INC,370.339,2551.44,66.966,-21.425,457.683,2264.684,-168.11,1094.276,52.97,10,3547.189
23561,12/31/22,AMNI,AMERICAN NOBLE GAS INC,0.07,1.26,21.925,-2.7,4.758,6.519,-122.63,0.117,0.114,10,2.499
24131,12/31/22,SPND,SPINDLETOP OIL & GAS CO,16.697,27.807,6.75,-0.042,6.859,10.594,18.082,8.354,3.86,10,26.055
24625,12/31/22,TTE,TOTALENERGIES SE,125724,303864,2481.944,49693,109778,189294,111115,263310,62.08,10,154079.084
25365,12/31/22,GTMAY,GRUPO TMM S.A.B,65.199,179.504,20.437,2.199,62.058,87.172,-20.618,86.284,0.582,10,11.894
25589,12/31/22,AREC,AMERICAN RES CORP,10.763,55.916,66.778,-23.998,27.437,55.632,-167.24,39.474,1.32,10,88.147
26013,12/31/22,SM,SM ENERGY CO,737.203,5716.039,121.932,1953.493,598.584,2630.581,1304.536,3358.647,34.83,10,4246.892
26028,12/31/22,EP,EMPIRE PETROLEUM CORP,22.735,71.545,22.094,8.785,17.621,48.309,-52.149,52.887,12.3,10,271.756
26069,12/31/22,GPOR,GULFPORT ENERGY CORP,402.27,2534.479,19.031,543.126,793.32,1653.349,381.872,1331.112,73.64,10,1401.443
26864,12/31/22,PR,PERMIAN RESOURCES CORP,463.79,8492.592,288.532,1086.274,605.569,2836.296,237.226,2131.265,9.4,10,2712.201
27032,2/28/22,NRIS,NORRIS INDUSTRIES INC,0.211,0.387,90.883,-0.392,0.139,4.173,-10.164,0.452,0.036,10,3.272
27086,3/31/22,ROI,RISKON INTERNATIONAL INC,3.38,35.977,26.247,-24.418,11.775,13.842,-158.868,25.6,2.23,10,58.531
27199,12/31/22,EGY,VAALCO ENERGY INC,200.097,855.641,107.853,173.038,162.09,389.536,148.203,354.326,4.56,10,491.81
27594,12/31/22,TRLM,TRULEUM INC,0.209,1.738,21.653,-1.561,1.738,2.939,-6.955,0.271,6.5,10,140.745
27706,12/31/22,INSW,INTERNATIONAL SEAWAYS INC,642.615,2615.334,49.121,424.165,257.389,1127.582,-14.483,864.665,37.02,10,1818.459
27786,12/31/22,CHK,CHESAPEAKE ENERGY CORP,2698,15468,134.715,3526,2704,6344,3399,11443,94.37,10,12713.055
27813,12/31/22,SHASF,SHAMARAN PETROLEUM CORP,196.098,498.693,2808.851,90.916,48.216,334.999,-517.177,176.665,0.0665,10,186.789
28338,12/31/22,RIG,TRANSOCEAN LTD,2008,20436,721.888,-21,1558,9644,-3264,2575,4.56,10,3291.809
28456,12/31/22,SUBCY,SUBSEA 7 SA,2421.3,6944.2,290.206,92.5,1884.4,2493.5,1093.4,5135.8,11.476,10,3330.404
28520,12/31/22,YPF,YACIMIENTOS PETE FISCALES SA,5143,25912,387.339,2332,4783,15360,5947,18757,9.19,10,3559.645
28791,12/31/22,ROYL,ROYALE ENERGY INC,8.815,11.78,61.877,-2.457,15.26,21.305,-87.647,2.643,0.066,10,4.084
29108,12/31/22,PTEN,PATTERSON-UTI ENERGY INC,829.419,3143.823,213.567,200.508,550.966,1478.3,-87.394,2647.592,16.84,10,3596.468
29453,12/31/22,LNG,CHENIERE ENERGY INC,5608,41266,245.5,4564,6795,41437,-4942,33428,149.96,10,36815.18
29680,12/31/22,WTTR,SELECT WATER SOLUTIONS INC,517.936,1222.853,109.39,50.834,231.29,339.125,-311.194,1387.42,9.24,10,1010.764
29769,12/31/22,PBEGF,TOUCHSTONE EXPLORATION INC,26.415,147.877,233.037,5.415,21.423,69.497,-41.16,28.303,0.67,10,156.135
30145,12/31/22,PUMP,PROPETRO HOLDING CORP,328.785,1335.786,114.515,172.533,284.18,381.753,-16.6,1279.701,10.37,10,1187.521
30241,12/31/22,TELL,TELLURIAN INC,574.291,1426.683,564.568,-17.148,297.541,754.14,-980.87,391.926,1.68,10,948.474
30284,12/31/22,LBRT,LIBERTY ENERGY INC,956.673,2575.932,178.753,497.124,649.497,1078.626,227.129,4149.228,16.01,10,2861.836
30547,12/31/22,SOI,SOLARIS OILFIELD IF INC,88.743,462.576,31.641,40.968,55.909,145.447,12.847,320.005,9.93,10,314.195
30838,12/31/22,TGS,TRANSPORTADORA DE GAS SUR,436.158,2326.59,150.552,296.547,119.656,817.895,867.15,928.874,11.8,10,1776.514
30907,12/31/22,GASXF,NG ENERGY INTERNATIONAL CORP,10.672,83.147,125.122,-6.176,12.461,67.64,-111.781,1.451,0.649,10,81.204
30923,12/31/22,FTI,TECHNIPFMC PLC,4988.7,9444.3,442.2,212.5,4174.3,6167.6,-6311.7,6700.4,12.19,10,5390.418
31005,12/31/22,NCSM,NCS MULTISTAGE HLDG INC,87.663,138.599,2.408,-2.253,17.693,29.337,-348.081,155.632,25,10,60.2
31056,12/31/22,IPCFF,INTERNATIONAL PETROLEUM,638.566,1679.617,136.828,491.511,149.905,714.286,615.072,1135.958,11.25,10,1539.315
31109,12/31/22,AM,ANTERO MIDSTREAM CORP,88.993,5791.32,478.497,545.622,102.077,3599.002,82.793,919.985,10.79,10,5162.983
31214,1/31/22,MIND,MIND TECHNOLOGY INC,29.245,42.02,13.774,-14.544,10.699,11.757,-119.737,23.107,1.6884,10,23.256
31252,12/31/22,MGY,MAGNOLIA OIL & GAS CORP,850.747,2572.585,192.043,1073.786,340.273,832.394,185.669,1694.493,23.45,10,4503.408
31331,12/31/22,NESR,NATIONAL ENERGY SERVICES REU,537.814,1828.327,94.013,-0.917,544.068,1025.979,-74.951,909.517,6.94,10,652.45
31384,12/31/22,SMHI,SEACOR MARINE HLDGS INC,132.576,815.63,26.702,-55.397,121.425,436.484,-86.264,217.325,9.16,10,244.59
31507,12/31/22,NINE,NINE ENERGY SERVICE INC,196.725,426.834,33.221,44.389,81.003,450.341,-798.845,593.382,14.53,10,482.701
31845,12/31/22,RNGR,RANGER ENERGY SERVICES,140.1,381.6,24.894,28.2,74.5,115.4,7.1,608.5,11.01,10,274.083
